call_id,source,block_seed,arm,pass_index,used_inc1,used_inc2,matrix_id,joint,h1_matrix_id,frame_ids,held_out_ordinal_start,held_out_ordinal_end,pairs_count,sampling_mode,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,exact_u1,exact_full,syndrome_ok_l2,syndrome_ok_l1,wrong_codeword_l2,wrong_codeword_l1,target_tag,candidate_tag,tag_ok,tag_scope,reclassified,iterations_l1,iterations_l2,bp_posterior_entropy,mean_abs_diff_q_p,leak_total,leak_stage1,leak_stage2,status,runtime_s
C001,1M,395001,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1618,1619,1620,1621",18,21,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,241,47,False,True,False,False,True,False,False,571c7d969d79ffaf,aea2aa6f9a5fce57,False,l2_only,decoder_non_syndrome_failure,1,90,0.001886958071554453,0.0006278064057777392,1064,1104,1144,converged_no_syndrome,5.651626699996996
C002,1M,395001,stage1,2,True,False,lane_c_1M_s383102+h_inc1,True,V31-H1-QC-16×1024,"1618,1619,1620,1621",18,21,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,241,0,True,True,True,True,True,False,False,571c7d969d79ffaf,571c7d969d79ffaf,True,l2_only,exact,1,47,0.001886958071554453,0.0006278064057777392,1104,1104,1144,converged_exact,3.0530560000042897
C003,1M,395002,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1648,1649,1650,1651",48,51,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,260,214,False,True,False,False,True,False,False,bcc6d796747efdca,fe2544907af93a22,False,l2_only,decoder_non_syndrome_failure,1,90,0.0013336550989993653,0.0007234941653974295,1064,1104,1144,converged_no_syndrome,5.4185928000079
C004,1M,395002,stage1,2,True,False,lane_c_1M_s383102+h_inc1,True,V31-H1-QC-16×1024,"1648,1649,1650,1651",48,51,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,260,49,False,True,False,False,True,False,False,bcc6d796747efdca,aeb1ae126ea3b1f1,False,l2_only,decoder_non_syndrome_failure,1,90,0.0013336550989993653,0.0007234941653974295,1104,1104,1144,converged_no_syndrome,5.789007799990941
C005,1M,395002,stage2,3,True,True,lane_c_1M_s383102+h_inc1+h_inc2,True,V31-H1-QC-16×1024,"1648,1649,1650,1651",48,51,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,260,0,True,True,True,True,True,False,False,bcc6d796747efdca,bcc6d796747efdca,True,l2_only,exact,1,11,0.0013336550989993653,0.0007234941653974295,1144,1104,1144,converged_exact,0.7375663999991957
C006,1M,395003,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1705,1706,1707,1708",105,108,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,222,73,False,True,False,False,True,False,False,9cd01e090cce7e44,91908c8b3d28ed23,False,l2_only,decoder_non_syndrome_failure,1,90,1.7627917963001106e-12,0.0006137182053158832,1064,1104,1144,converged_no_syndrome,5.5355838000104995
C007,1M,395003,stage1,2,True,False,lane_c_1M_s383102+h_inc1,True,V31-H1-QC-16×1024,"1705,1706,1707,1708",105,108,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,222,0,True,True,True,True,True,False,False,9cd01e090cce7e44,9cd01e090cce7e44,True,l2_only,exact,1,29,1.7627917963001106e-12,0.0006137182053158832,1104,1104,1144,converged_exact,1.8380637999944156
C008,1M,395004,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1760,1761,1762,1763",160,163,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,229,0,True,True,True,True,True,False,False,2e0f84bdac21eb55,2e0f84bdac21eb55,True,l2_only,exact,1,9,0.0010548702416206287,0.0005464898714703182,1064,1104,1144,converged_exact,0.5475717999943299
C009,1M,395005,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1783,1784,1785,1786",183,186,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,258,204,False,True,False,False,True,False,False,dd3e6687e6961922,97db739b61a336ca,False,l2_only,decoder_non_syndrome_failure,1,90,0.001840138843581156,0.0006830266417958789,1064,1104,1144,converged_no_syndrome,5.4300248000072315
C010,1M,395005,stage1,2,True,False,lane_c_1M_s383102+h_inc1,True,V31-H1-QC-16×1024,"1783,1784,1785,1786",183,186,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,258,0,True,True,True,True,True,False,False,dd3e6687e6961922,dd3e6687e6961922,True,l2_only,exact,1,45,0.001840138843581156,0.0006830266417958789,1104,1104,1144,converged_exact,2.8057952000090154
C011,1M,395006,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1804,1805,1806,1807",204,207,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,232,111,False,True,False,False,True,False,False,b5fb9cc08627130f,619053710c9db6ff,False,l2_only,decoder_non_syndrome_failure,1,90,0.000661357790203826,0.0007975470351553083,1064,1104,1144,converged_no_syndrome,5.5188482999947155
C012,1M,395006,stage1,2,True,False,lane_c_1M_s383102+h_inc1,True,V31-H1-QC-16×1024,"1804,1805,1806,1807",204,207,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,232,0,True,True,True,True,True,False,False,b5fb9cc08627130f,b5fb9cc08627130f,True,l2_only,exact,1,9,0.000661357790203826,0.0007975470351553083,1104,1104,1144,converged_exact,0.5593763000069885
C013,1M,395007,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1820,1821,1822,1823",220,223,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,264,65,False,True,False,False,True,False,False,2d45dd1920bb0d53,7d4532cde7ee9250,False,l2_only,decoder_non_syndrome_failure,2,90,1.6142965443929216e-12,0.0007866158665153747,1064,1104,1144,converged_no_syndrome,5.401953299995512
C014,1M,395007,stage1,2,True,False,lane_c_1M_s383102+h_inc1,True,V31-H1-QC-16×1024,"1820,1821,1822,1823",220,223,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,264,0,True,True,True,True,True,False,False,2d45dd1920bb0d53,2d45dd1920bb0d53,True,l2_only,exact,2,14,1.6142965443929216e-12,0.0007866158665153747,1104,1104,1144,converged_exact,0.8687435000028927
C015,1M,395008,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1843,1844,1845,1846",243,246,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,244,0,True,True,True,True,True,False,False,01babe8c785babde,01babe8c785babde,True,l2_only,exact,1,9,0.0013325873738844884,0.0006340191928498368,1064,1104,1144,converged_exact,0.5450063000025693
C016,1M,395009,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1864,1865,1866,1867",264,267,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,257,0,True,True,True,True,True,False,False,5af7fac7602b9c01,5af7fac7602b9c01,True,l2_only,exact,1,49,2.0449115026627106e-12,0.0006432026263588986,1064,1104,1144,converged_exact,3.0523116999975173
C017,1M,395010,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1887,1888,1889,1890",287,290,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,246,0,True,True,True,True,True,False,False,9081e1372581ec40,9081e1372581ec40,True,l2_only,exact,2,11,0.0025177818023044162,0.0008427074350797643,1064,1104,1144,converged_exact,0.6785352999868337
C018,1M,395011,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1903,1904,1905,1906",303,306,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,238,37,False,True,False,False,True,False,False,93c2af6625509df8,384266480c2b959c,False,l2_only,decoder_non_syndrome_failure,1,90,0.00021526640647315598,0.0005899181288449723,1064,1104,1144,converged_no_syndrome,5.479000600011204
C019,1M,395011,stage1,2,True,False,lane_c_1M_s383102+h_inc1,True,V31-H1-QC-16×1024,"1903,1904,1905,1906",303,306,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,238,0,True,True,True,True,True,False,False,93c2af6625509df8,93c2af6625509df8,True,l2_only,exact,1,8,0.00021526640647315598,0.0005899181288449723,1104,1104,1144,converged_exact,0.5069217999989633
C020,1M,395012,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1926,1927,1928,1929",326,329,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,252,18,False,True,False,False,True,False,False,afdeb001ecdf6ac4,c33d7e4282f0ee0b,False,l2_only,decoder_non_syndrome_failure,1,90,0.0006474153286514804,0.0007203284388336212,1064,1104,1144,converged_no_syndrome,5.379993899987312
C021,1M,395012,stage1,2,True,False,lane_c_1M_s383102+h_inc1,True,V31-H1-QC-16×1024,"1926,1927,1928,1929",326,329,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,252,0,True,True,True,True,True,False,False,afdeb001ecdf6ac4,afdeb001ecdf6ac4,True,l2_only,exact,1,12,0.0006474153286514804,0.0007203284388336212,1104,1104,1144,converged_exact,0.7457843000011053
C022,1M,395013,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1948,1949,1950,1951",348,351,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,274,95,False,True,False,False,True,False,False,6fb7323ce96a5370,b869ec1dd0c4fd1c,False,l2_only,decoder_non_syndrome_failure,1,90,9.306539891665321e-05,0.0006823313856344103,1064,1104,1144,converged_no_syndrome,5.3379137000010815
C023,1M,395013,stage1,2,True,False,lane_c_1M_s383102+h_inc1,True,V31-H1-QC-16×1024,"1948,1949,1950,1951",348,351,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,274,0,True,True,True,True,True,False,False,6fb7323ce96a5370,6fb7323ce96a5370,True,l2_only,exact,1,53,9.306539891665321e-05,0.0006823313856344103,1104,1104,1144,converged_exact,3.3244984000048134
C024,1M,395014,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1971,1972,1973,1974",371,374,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,255,75,False,True,False,False,True,False,False,61302886edfe0904,fffde3ab2fa2a1a1,False,l2_only,decoder_non_syndrome_failure,1,90,7.782698172214575e-07,0.0005614828578593589,1064,1104,1144,converged_no_syndrome,5.328584400005639
C025,1M,395014,stage1,2,True,False,lane_c_1M_s383102+h_inc1,True,V31-H1-QC-16×1024,"1971,1972,1973,1974",371,374,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,255,0,True,True,True,True,True,False,False,61302886edfe0904,61302886edfe0904,True,l2_only,exact,1,11,7.782698172214575e-07,0.0005614828578593589,1104,1104,1144,converged_exact,0.6873046999971848
C026,1M,395015,base,1,False,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1988,1989,1990,1991",388,391,1024,deterministic_four_consecutive_frames_heldout_fresh_v54,90,1.0,244,0,True,True,True,True,True,False,False,35bdd573e5bbd031,35bdd573e5bbd031,True,l2_only,exact,1,9,0.001738416719130074,0.0006831803649092465,1064,1104,1144,converged_exact,0.5363563999999315
