slot_idx,f,seed,arm,role,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label,belief_provenance,belief_shape_ok,transfer_eligible
1,1.0,2026091300,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,41,0.3425844270095695,133021696,0.5344644270502605,0.10058957169288209,4.154800827385998,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
2,1.0,2026091300,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,47,38,0.2991228949977085,133021696,0.48702494789140705,0.10815059063613361,4.293927478020024,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
3,1.0,2026091300,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,41,0.2937047770101344,133021696,0.5592515222869034,0.11534682722632311,4.24772934276203,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
4,1.0,2026091300,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,46,39,0.33616885299852584,133021696,0.6072153583476381,0.1259107720339934,4.1764567236471315,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
5,1.0,2026091301,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,47,44,0.33580193399393465,133021696,0.5698283321087699,0.12141170124151934,4.1391814361487,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
6,1.0,2026091301,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,49,40,0.29663963000348303,133021696,0.47155969063486053,0.09552400151268474,4.295129574963026,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
7,1.0,2026091301,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,49,42,0.2953976849967148,133021696,0.5065478593875512,0.0901759721612575,4.261973289242913,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
8,1.0,2026091301,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,45,44,0.3315484660124639,133021696,0.5418350417571045,0.12251419169586177,4.197008395599893,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
9,1.0,2026091302,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,39,29,0.3364665179979056,133021696,0.9991153309374752,0.2931486609477856,3.106236069312042,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
10,1.0,2026091302,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,28,17,0.29850648999854457,133021696,0.9987063161921056,0.3385760031371866,3.1740676185290413,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
