dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,block_size_schedule,num_passes,permutation_mode,seed,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,beta_eff_empirical,runtime_s,notes,param_hash,real_ir_success,success_classification
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",3,seeded_random,0,4,3,0,1,0.75,0.232421875,0.001953125,3392.0,0.33125,0.0,0.10473170000477694,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=2248; bisection_disclosures_bits=1016; verification_bits=128; other_disclosures_bits=0; candidate_flips=236; verified_flips=236; total_blocks_checked=1124",7bb66119b31ce8cd,False,verified_failure
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,4,4,0,0,1.0,0.232421875,0.0,3566.0,0.3482421875,0.0,0.18539920001057908,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=2408; bisection_disclosures_bits=1030; verification_bits=128; other_disclosures_bits=0; candidate_flips=238; verified_flips=238; total_blocks_checked=1204",3ddb0e813f8c9fa7,True,real_ir_success
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",3,seeded_random,0,4,4,0,0,1.0,0.232421875,0.0,9769.0,0.95400390625,0.0,0.261501800006954,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=8962; bisection_disclosures_bits=679; verification_bits=128; other_disclosures_bits=0; candidate_flips=238; verified_flips=238; total_blocks_checked=4481",1cdb1b55b06d0718,True,real_ir_success
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",4,seeded_random,0,4,4,0,0,1.0,0.232421875,0.0,8520.0,0.83203125,0.0,0.28274160000728443,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=7562; bisection_disclosures_bits=830; verification_bits=128; other_disclosures_bits=0; candidate_flips=238; verified_flips=238; total_blocks_checked=3781",7ee822c7f60512c0,True,real_ir_success
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",3,seeded_random,0,4,4,0,0,1.0,0.232421875,0.0,6944.0,0.678125,0.0,0.2883165000239387,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=5986; bisection_disclosures_bits=830; verification_bits=128; other_disclosures_bits=0; candidate_flips=238; verified_flips=238; total_blocks_checked=2993",e41b94e22127bc2a,True,real_ir_success
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",4,seeded_random,0,4,4,0,0,1.0,0.232421875,0.0,11345.0,1.10791015625,0.0,0.27748600000631995,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=10538; bisection_disclosures_bits=679; verification_bits=128; other_disclosures_bits=0; candidate_flips=238; verified_flips=238; total_blocks_checked=5269",d8c9e97fcf2fa52f,True,real_ir_success
real_typeii_20db_d1024_bw200_blk0,1024,200,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",3,seeded_random,0,4,4,0,0,1.0,0.25,0.0,3478.0,0.3396484375,0.0,0.24417279998306185,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=2254; bisection_disclosures_bits=1096; verification_bits=128; other_disclosures_bits=0; candidate_flips=256; verified_flips=256; total_blocks_checked=1127",7bb66119b31ce8cd,True,real_ir_success
real_typeii_20db_d16_bw100_blk0,16,100,4,1,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,1,1,0,0,1.0,0.19921875,0.0,1008.0,0.984375,0.0,0.056131399993319064,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=766; bisection_disclosures_bits=210; verification_bits=32; other_disclosures_bits=0; candidate_flips=66; verified_flips=66; total_blocks_checked=383",3ddb0e813f8c9fa7,True,real_ir_success
real_typeii_20db_d16_bw100_blk0,16,100,4,1,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",3,seeded_random,0,1,1,0,0,1.0,0.19921875,0.0,850.0,0.830078125,0.0,0.10466370001086034,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=608; bisection_disclosures_bits=210; verification_bits=32; other_disclosures_bits=0; candidate_flips=66; verified_flips=66; total_blocks_checked=304",7bb66119b31ce8cd,True,real_ir_success
real_typeii_20db_d1024_bw180_blk0,1024,180,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",3,seeded_random,0,4,4,0,0,1.0,0.2578125,0.0,9835.0,0.96044921875,0.0,0.3030502999899909,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=8962; bisection_disclosures_bits=745; verification_bits=128; other_disclosures_bits=0; candidate_flips=264; verified_flips=264; total_blocks_checked=4481",1cdb1b55b06d0718,True,real_ir_success
