dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,block_size_schedule,num_passes,permutation_mode,seed,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,beta_eff_empirical,runtime_s,notes,param_hash,real_ir_success,success_classification
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",4,seeded_random,0,4,4,0,0,1.0,0.19921875,0.0,1056.0,1.03125,0.0,0.059315400023479015,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=714; bisection_disclosures_bits=214; verification_bits=128; other_disclosures_bits=0; candidate_flips=66; verified_flips=66; total_blocks_checked=357",d8c9e97fcf2fa52f,True,real_ir_success
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",2,seeded_random,1,4,4,0,0,1.0,0.19921875,0.0,1069.0,1.0439453125,0.0,0.01573149999603629,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=2; permutation_mode=seeded_random; parity_disclosures_bits=770; bisection_disclosures_bits=171; verification_bits=128; other_disclosures_bits=0; candidate_flips=66; verified_flips=66; total_blocks_checked=385",7354d2046d247234,True,real_ir_success
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",2,seeded_random,1,4,2,0,2,0.5,0.19921875,0.015625,851.0,0.8310546875,0.0,0.015481600014027208,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=2; permutation_mode=seeded_random; parity_disclosures_bits=524; bisection_disclosures_bits=199; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=262",624abde0af86ab7f,False,verified_failure
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,no_verified_success,internal_cascade_lite,"16,32,64,128",2,identity,1,4,0,0,4,0.0,0.19921875,0.10546875,424.0,0.4140625,0.0,0.0010745000035967678,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=2; permutation_mode=identity; parity_disclosures_bits=192; bisection_disclosures_bits=104; verification_bits=128; other_disclosures_bits=0; candidate_flips=26; verified_flips=26; total_blocks_checked=96; status_reason=no_verified_success; success=0/4; raw_ser=0.19921875; post_ir_ser=0.10546875",b97861b5bfb007df,False,verified_failure
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",2,identity,0,4,1,0,3,0.25,0.19921875,0.03515625,1022.0,0.998046875,0.0,0.0025209999876096845,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=2; permutation_mode=identity; parity_disclosures_bits=768; bisection_disclosures_bits=126; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=384",a13ee2a8e214a2c1,False,verified_failure
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",3,seeded_random,0,4,2,0,2,0.5,0.19921875,0.03515625,604.0,0.58984375,0.0,0.0072762000199873,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=234; bisection_disclosures_bits=242; verification_bits=128; other_disclosures_bits=0; candidate_flips=54; verified_flips=54; total_blocks_checked=117",7bb66119b31ce8cd,False,verified_failure
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",3,identity,1,4,1,0,3,0.25,0.19921875,0.03515625,1150.0,1.123046875,0.0,0.0022699999972246587,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=3; permutation_mode=identity; parity_disclosures_bits=896; bisection_disclosures_bits=126; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=448",980002d4a26462ee,False,verified_failure
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,no_verified_success,internal_cascade_lite,"12,6,24,13",3,identity,0,4,0,0,4,0.0,0.19921875,0.078125,854.0,0.833984375,0.0,0.0017103000136557966,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=3; permutation_mode=identity; parity_disclosures_bits=608; bisection_disclosures_bits=118; verification_bits=128; other_disclosures_bits=0; candidate_flips=34; verified_flips=34; total_blocks_checked=304; status_reason=no_verified_success; success=0/4; raw_ser=0.19921875; post_ir_ser=0.078125",d6871fb94730b51d,False,verified_failure
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",3,seeded_random,0,4,4,0,0,1.0,0.19921875,0.0,1199.0,1.1708984375,0.0,0.026586299994960427,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=898; bisection_disclosures_bits=173; verification_bits=128; other_disclosures_bits=0; candidate_flips=66; verified_flips=66; total_blocks_checked=449",1cdb1b55b06d0718,True,real_ir_success
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",4,seeded_random,1,4,3,0,1,0.75,0.19921875,0.0078125,1056.0,1.03125,0.0,0.05946999997831881,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=712; bisection_disclosures_bits=216; verification_bits=128; other_disclosures_bits=0; candidate_flips=64; verified_flips=64; total_blocks_checked=356",06922f5b1549a72b,False,verified_failure
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,no_verified_success,internal_cascade_lite,"12,6,24,13",2,identity,0,4,0,0,4,0.0,0.19921875,0.078125,766.0,0.748046875,0.0,0.0017099000106099993,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=2; permutation_mode=identity; parity_disclosures_bits=520; bisection_disclosures_bits=118; verification_bits=128; other_disclosures_bits=0; candidate_flips=34; verified_flips=34; total_blocks_checked=260; status_reason=no_verified_success; success=0/4; raw_ser=0.19921875; post_ir_ser=0.078125",979209ff46816fd4,False,verified_failure
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,no_verified_success,internal_cascade_lite,"12,6,24,13",2,identity,1,4,0,0,4,0.0,0.19921875,0.078125,766.0,0.748046875,0.0,0.0015466999902855605,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=2; permutation_mode=identity; parity_disclosures_bits=520; bisection_disclosures_bits=118; verification_bits=128; other_disclosures_bits=0; candidate_flips=34; verified_flips=34; total_blocks_checked=260; status_reason=no_verified_success; success=0/4; raw_ser=0.19921875; post_ir_ser=0.078125",2cca18232a17d99f,False,verified_failure
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",4,identity,0,4,1,0,3,0.25,0.19921875,0.03515625,1310.0,1.279296875,0.0,0.0031392000091727823,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=1056; bisection_disclosures_bits=126; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=528",de9542c356f237d9,False,verified_failure
real_typeii_20db_d16_bw100_blk0,16,100,4,4,cascade_lite,no_verified_success,internal_cascade_lite,"16,32,64,128",3,identity,0,4,0,0,4,0.0,0.19921875,0.10546875,456.0,0.4453125,0.0,0.0010958000202663243,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=3; permutation_mode=identity; parity_disclosures_bits=224; bisection_disclosures_bits=104; verification_bits=128; other_disclosures_bits=0; candidate_flips=26; verified_flips=26; total_blocks_checked=112; status_reason=no_verified_success; success=0/4; raw_ser=0.19921875; post_ir_ser=0.10546875",4e9da68e0f171e1f,False,verified_failure
