phase,method,frame_id,stratum,role,status,reason,raw_ser,iterations,notes
baseline,nbldpc_formal_v7_r1a_mr0,77,d1024_bw200,development,decode_failed,iteration_limit,0.07421875,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,77,d1024_bw200,development,syndrome_consistent,exact_correct,0.07421875,3,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,78,d1024_bw200,development,decode_failed,iteration_limit,0.08203125,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,78,d1024_bw200,development,syndrome_consistent,exact_correct,0.08203125,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,88,d1024_bw200,development,decode_failed,iteration_limit,0.0859375,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,88,d1024_bw200,development,syndrome_consistent,exact_correct,0.0859375,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,89,d1024_bw200,development,syndrome_consistent,exact_correct,0.0546875,1,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,89,d1024_bw200,development,syndrome_consistent,exact_correct,0.0546875,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,92,d1024_bw200,development,decode_failed,iteration_limit,0.0625,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,92,d1024_bw200,development,syndrome_consistent,exact_correct,0.0625,3,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,98,d1024_bw200,development,syndrome_consistent,exact_correct,0.05859375,1,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,98,d1024_bw200,development,syndrome_consistent,exact_correct,0.05859375,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,100,d1024_bw200,development,decode_failed,iteration_limit,0.078125,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,100,d1024_bw200,development,syndrome_consistent,exact_correct,0.078125,3,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,102,d1024_bw200,development,decode_failed,iteration_limit,0.08203125,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,102,d1024_bw200,development,syndrome_consistent,exact_correct,0.08203125,3,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,104,d1024_bw200,development,syndrome_consistent,exact_correct,0.05859375,1,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,104,d1024_bw200,development,syndrome_consistent,exact_correct,0.05859375,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,105,d1024_bw200,development,decode_failed,iteration_limit,0.05859375,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,105,d1024_bw200,development,syndrome_consistent,exact_correct,0.05859375,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,106,d1024_bw200,development,syndrome_consistent,exact_correct,0.04296875,1,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,106,d1024_bw200,development,syndrome_consistent,exact_correct,0.04296875,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,108,d1024_bw200,development,decode_failed,iteration_limit,0.08203125,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,108,d1024_bw200,development,syndrome_consistent,exact_correct,0.08203125,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,111,d1024_bw200,development,decode_failed,iteration_limit,0.10546875,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,111,d1024_bw200,development,syndrome_consistent,exact_correct,0.10546875,3,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,113,d1024_bw200,development,decode_failed,iteration_limit,0.1015625,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,113,d1024_bw200,development,syndrome_consistent,exact_correct,0.1015625,3,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,115,d1024_bw200,development,syndrome_consistent,exact_correct,0.0703125,1,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,115,d1024_bw200,development,syndrome_consistent,exact_correct,0.0703125,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,116,d1024_bw200,development,decode_failed,iteration_limit,0.05859375,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,116,d1024_bw200,development,syndrome_consistent,exact_correct,0.05859375,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,117,d1024_bw200,development,decode_failed,iteration_limit,0.06640625,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,117,d1024_bw200,development,syndrome_consistent,exact_correct,0.06640625,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,118,d1024_bw200,development,decode_failed,iteration_limit,0.08203125,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,118,d1024_bw200,development,syndrome_consistent,exact_correct,0.08203125,3,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,119,d1024_bw200,development,decode_failed,iteration_limit,0.0859375,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,119,d1024_bw200,development,syndrome_consistent,exact_correct,0.0859375,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,121,d1024_bw200,development,decode_failed,iteration_limit,0.1015625,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,121,d1024_bw200,development,syndrome_consistent,exact_correct,0.1015625,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,123,d1024_bw200,development,decode_failed,iteration_limit,0.09375,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,123,d1024_bw200,development,syndrome_consistent,exact_correct,0.09375,2,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,124,d1024_bw200,development,decode_failed,iteration_limit,0.08984375,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,124,d1024_bw200,development,syndrome_consistent,exact_correct,0.08984375,3,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,125,d1024_bw200,development,decode_failed,iteration_limit,0.078125,100,hook_equivalence=ok
candidate_development,nbldpc_v13_r3_code_v1,125,d1024_bw200,development,syndrome_consistent,exact_correct,0.078125,3,hook_equivalence=ok
