call_id,source,block_seed,arm,pass_index,used_increment,matrix_id,joint,h1_matrix_id,frame_ids,held_out_ordinal_start,held_out_ordinal_end,pairs_count,sampling_mode,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,exact_u1,exact_full,syndrome_ok_l2,syndrome_ok_l1,wrong_codeword_l2,wrong_codeword_l1,target_tag,candidate_tag,tag_ok,tag_scope,reclassified,iterations_l1,iterations_l2,bp_posterior_entropy,mean_abs_diff_q_p,leak_total,leak_joint,status,runtime_s
C01,1M,393001,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1618,1619,1620,1621",18,21,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,241,47,False,True,False,False,True,False,False,571c7d969d79ffaf,aea2aa6f9a5fce57,False,l2_only,decoder_non_syndrome_failure,1,90,0.001886958071554453,0.0006278064057777392,1064,1104,converged_no_syndrome,6.728673900004651
C02,1M,393001,rescue,2,True,lane_c_1M_s383102+h_inc,True,V31-H1-QC-16×1024,"1618,1619,1620,1621",18,21,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,241,0,True,True,True,True,True,False,False,571c7d969d79ffaf,571c7d969d79ffaf,True,l2_only,exact,1,47,0.001886958071554453,0.0006278064057777392,1104,1104,converged_exact,3.75024200000189
C03,1M,393002,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1622,1623,1624,1625",22,25,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,256,18,False,True,False,False,True,False,False,2ff281c798e98a60,fa25b851fad76465,False,l2_only,decoder_non_syndrome_failure,1,90,0.003016509274709863,0.000718547700251265,1064,1104,converged_no_syndrome,7.017896000004839
C04,1M,393002,rescue,2,True,lane_c_1M_s383102+h_inc,True,V31-H1-QC-16×1024,"1622,1623,1624,1625",22,25,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,256,0,True,True,True,True,True,False,False,2ff281c798e98a60,2ff281c798e98a60,True,l2_only,exact,1,10,0.003016509274709863,0.000718547700251265,1104,1104,converged_exact,0.8632087000005413
C05,1M,393003,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1646,1647,1648,1649",46,49,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,255,0,True,True,True,True,True,False,False,135073a3edcbf017,135073a3edcbf017,True,l2_only,exact,2,16,4.972871235213967e-12,0.000852037558590742,1064,1104,converged_exact,1.204965799995989
C06,1M,393004,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1650,1651,1652,1653",50,53,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,249,75,False,True,False,False,True,False,False,621b79202d3a1dbb,3f189537b9bc7c20,False,l2_only,decoder_non_syndrome_failure,1,90,0.0020826337306243258,0.0008815667342570741,1064,1104,converged_no_syndrome,7.143033899999864
C07,1M,393004,rescue,2,True,lane_c_1M_s383102+h_inc,True,V31-H1-QC-16×1024,"1650,1651,1652,1653",50,53,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,249,0,True,True,True,True,True,False,False,621b79202d3a1dbb,621b79202d3a1dbb,True,l2_only,exact,1,24,0.0020826337306243258,0.0008815667342570741,1104,1104,converged_exact,1.8748886000030325
C08,1M,393005,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1674,1675,1676,1677",74,77,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,263,70,False,True,False,False,True,False,False,91287e8e6d22d3f8,b64d3c488504e350,False,l2_only,decoder_non_syndrome_failure,2,90,7.352086528881696e-07,0.0005702748338027835,1064,1104,converged_no_syndrome,7.18050210000365
C09,1M,393005,rescue,2,True,lane_c_1M_s383102+h_inc,True,V31-H1-QC-16×1024,"1674,1675,1676,1677",74,77,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,263,0,True,True,True,True,True,False,False,91287e8e6d22d3f8,91287e8e6d22d3f8,True,l2_only,exact,2,40,7.352086528881696e-07,0.0005702748338027835,1104,1104,converged_exact,3.3675387000039336
C10,1p5M,393101,base_shared,1,False,lane_c_1p5M_s383202,False,V31-H1-QC-16×1024,"2217,2218,2219,2220",4,7,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,254,95,False,True,False,False,True,False,False,398bba684ad0851b,4d9dcaedcbcf53da,False,l2_only,decoder_non_syndrome_failure,1,90,0.004772979271417,0.0006313892784355256,1094,1134,converged_no_syndrome,7.216231200000038
C11,1p5M,393101,rescue,2,True,lane_c_1p5M_s383202+h_inc,True,V31-H1-QC-16×1024,"2217,2218,2219,2220",4,7,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,254,98,False,True,False,False,True,False,False,398bba684ad0851b,814029f1135bda57,False,l2_only,decoder_non_syndrome_failure,1,90,0.004772979271417,0.0006313892784355256,1134,1134,converged_no_syndrome,7.543305799998052
C12,1p5M,393102,base_shared,1,False,lane_c_1p5M_s383202,False,V31-H1-QC-16×1024,"2221,2222,2223,2224",8,11,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,262,0,True,True,True,True,True,False,False,db8f0ba22fe6f0bd,db8f0ba22fe6f0bd,True,l2_only,exact,1,25,2.2575871960930573e-05,0.0007234428013560916,1094,1134,converged_exact,2.109778700003517
C13,1p5M,393103,base_shared,1,False,lane_c_1p5M_s383202,False,V31-H1-QC-16×1024,"2236,2237,2238,2239",23,26,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,247,81,False,True,False,False,True,False,False,f2047a24dea4e3f1,48f1eb0d2c46d7d2,False,l2_only,decoder_non_syndrome_failure,1,90,0.0001335376676465277,0.0004210404246504019,1094,1134,converged_no_syndrome,7.306485000000976
C14,1p5M,393103,rescue,2,True,lane_c_1p5M_s383202+h_inc,True,V31-H1-QC-16×1024,"2236,2237,2238,2239",23,26,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,247,0,True,True,True,True,True,False,False,f2047a24dea4e3f1,f2047a24dea4e3f1,True,l2_only,exact,1,11,0.0001335376676465277,0.0004210404246504019,1134,1134,converged_exact,0.9374538999982178
C15,1p5M,393104,base_shared,1,False,lane_c_1p5M_s383202,False,V31-H1-QC-16×1024,"2240,2241,2242,2243",27,30,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,265,18,False,True,False,False,True,False,False,c7815a2428397971,fe4287ac5055f4d5,False,l2_only,decoder_non_syndrome_failure,1,90,0.00040906090065101236,0.0007054852129803628,1094,1134,converged_no_syndrome,7.784968499996467
C16,1p5M,393104,rescue,2,True,lane_c_1p5M_s383202+h_inc,True,V31-H1-QC-16×1024,"2240,2241,2242,2243",27,30,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,265,79,False,True,False,False,True,False,False,c7815a2428397971,3a4f18dfae43fe40,False,l2_only,decoder_non_syndrome_failure,1,90,0.00040906090065101236,0.0007054852129803628,1134,1134,converged_no_syndrome,8.034600099999807
C17,1p5M,393105,base_shared,1,False,lane_c_1p5M_s383202,False,V31-H1-QC-16×1024,"2244,2245,2246,2247",31,34,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,241,183,False,True,False,False,True,False,False,a6e2da1d13b51014,3b8fa70bbb7334a9,False,l2_only,decoder_non_syndrome_failure,1,90,6.901802931455149e-06,0.000420303812367461,1094,1134,converged_no_syndrome,7.662973499995132
C18,1p5M,393105,rescue,2,True,lane_c_1p5M_s383202+h_inc,True,V31-H1-QC-16×1024,"2244,2245,2246,2247",31,34,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,241,0,True,True,True,True,True,False,False,a6e2da1d13b51014,a6e2da1d13b51014,True,l2_only,exact,1,8,6.901802931455149e-06,0.000420303812367461,1134,1134,converged_exact,0.6438531000021612
C19,2M,393201,base_shared,1,False,lane_c_2M_s383302,False,V31-H1-QC-16×1024,"2920,2921,2922,2923",4,7,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,270,4,False,True,False,True,True,True,False,492863e00fc0c7eb,ec3271827563439e,False,l2_only,detected_verification_failure,1,31,0.0006745972492221863,0.0006601870491702077,1104,1144,converged_exact,2.6456840000028023
C20,2M,393201,rescue,2,True,lane_c_2M_s383302+h_inc,True,V31-H1-QC-16×1024,"2920,2921,2922,2923",4,7,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,270,0,True,True,True,True,True,False,False,492863e00fc0c7eb,492863e00fc0c7eb,True,l2_only,exact,1,9,0.0006745972492221863,0.0006601870491702077,1144,1144,converged_exact,0.7452441999994335
C21,2M,393202,base_shared,1,False,lane_c_2M_s383302,False,V31-H1-QC-16×1024,"2924,2925,2926,2927",8,11,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,267,58,False,True,False,False,True,False,False,9b4c4c8e0d9fc03e,748668a77389052b,False,l2_only,decoder_non_syndrome_failure,2,90,6.221709631481466e-06,0.0008743837095745116,1104,1144,converged_no_syndrome,7.884202100001858
C22,2M,393202,rescue,2,True,lane_c_2M_s383302+h_inc,True,V31-H1-QC-16×1024,"2924,2925,2926,2927",8,11,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,267,45,False,True,False,False,True,False,False,9b4c4c8e0d9fc03e,f801c684f0070395,False,l2_only,decoder_non_syndrome_failure,2,90,6.221709631481466e-06,0.0008743837095745116,1144,1144,converged_no_syndrome,8.086319200003345
C23,2M,393203,base_shared,1,False,lane_c_2M_s383302,False,V31-H1-QC-16×1024,"2928,2929,2930,2931",12,15,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,250,0,True,True,True,True,True,False,False,a5ceb966333661ad,a5ceb966333661ad,True,l2_only,exact,1,8,4.1501053729336973e-05,0.0005720169144786188,1104,1144,converged_exact,0.5871396000002278
C24,2M,393204,base_shared,1,False,lane_c_2M_s383302,False,V31-H1-QC-16×1024,"2945,2946,2947,2948",29,32,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,265,0,True,True,True,True,True,False,False,828ac30b96971e33,828ac30b96971e33,True,l2_only,exact,1,12,0.002446434350053023,0.0007665754325990048,1104,1144,converged_exact,1.0270899000024656
C25,2M,393205,base_shared,1,False,lane_c_2M_s383302,False,V31-H1-QC-16×1024,"2949,2950,2951,2952",33,36,1024,deterministic_four_consecutive_frames_heldout_fresh,90,1.0,248,0,True,True,True,True,True,False,False,abbc0f1d4786018b,abbc0f1d4786018b,True,l2_only,exact,1,15,0.004422212142501129,0.0007300472745945016,1104,1144,converged_exact,1.3257926000005682
