dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,passes_used,total_blocks_checked,parity_disclosures_bits,bisection_disclosures_bits,verification_bits,other_disclosures_bits,candidate_flips,verified_flips,block_size_schedule,num_passes,notes,dimension,bin_width_ps,data_mode,frame_cap,permutation_mode,seed,param_hash
real_typeii_20db_d16_bw100_blk0,cascade_lite,0,True,True,0.265625,0.09765625,0.0,0.0,362.0,64,10.399899998446926,4,133,266,64,32,0,25,25,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d16_bw100_blk0,cascade_lite,1,True,True,0.140625,0.0546875,0.0,0.0,268.0,44,13.058500015176833,4,96,192,44,32,0,14,14,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d16_bw100_blk0,cascade_lite,2,True,True,0.171875,0.04296875,0.0,0.0,260.0,36,26.99770001345314,4,96,192,36,32,0,11,11,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d16_bw100_blk0,cascade_lite,3,True,True,0.21875,0.0625,0.0,0.0,166.0,70,8.837500005029142,4,32,64,70,32,0,16,16,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d16_bw100_blk0,cascade_lite,0,True,True,0.265625,0.09765625,0.0,0.0,290.0,64,1.7084999999497086,2,97,194,64,32,0,25,25,"8,4,16,13",2,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,1,7354d2046d247234
real_typeii_20db_d16_bw100_blk0,cascade_lite,1,True,True,0.140625,0.0546875,0.0,0.0,260.0,36,11.7344000027515,2,96,192,36,32,0,14,14,"8,4,16,13",2,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,1,7354d2046d247234
real_typeii_20db_d16_bw100_blk0,cascade_lite,2,True,True,0.171875,0.04296875,0.0,0.0,255.0,31,0.5541999998968095,2,96,192,31,32,0,11,11,"8,4,16,13",2,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,1,7354d2046d247234
real_typeii_20db_d16_bw100_blk0,cascade_lite,3,True,True,0.21875,0.0625,0.0,0.0,264.0,40,1.7133000073954463,2,96,192,40,32,0,16,16,"8,4,16,13",2,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,1,7354d2046d247234
real_typeii_20db_d16_bw100_blk0,cascade_lite,0,True,True,0.265625,0.09765625,0.0,0.0,242.0,76,1.813299983041361,2,67,134,76,32,0,25,25,"12,6,24,13",2,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,1,624abde0af86ab7f
real_typeii_20db_d16_bw100_blk0,cascade_lite,1,True,True,0.140625,0.0546875,0.0,0.0,206.0,44,6.633999990299344,2,65,130,44,32,0,14,14,"12,6,24,13",2,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,1,624abde0af86ab7f
