dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,failure_reason,unsatisfied_checks_initial,unsatisfied_checks_final,syndrome_weight_initial,syndrome_weight_final,candidate_updates,notes,dimension,bin_width_ps,data_mode,q,frame_cap,decoder,channel_model,check_fraction,row_weight,max_iter,param_hash
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,0,True,True,0.015625,0.005208333333333333,0.0,0.0,110.0,1,3.5198999976273626,,1,0,1,0,1,channel_model=qary_symmetric; syndrome_symbols=26,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.4,4,20,82608820f2d15e61
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,1,True,True,0.046875,0.020833333333333332,0.0,0.0,110.0,3,12.3582000087481,,3,0,3,0,3,channel_model=qary_symmetric; syndrome_symbols=26,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.4,4,20,82608820f2d15e61
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,2,True,False,0.03125,0.015625,0.03125,0.020833333333333332,110.0,2,8.973600022727624,candidate_failed_verification,2,0,2,0,2,channel_model=qary_symmetric; syndrome_symbols=26,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.4,4,20,82608820f2d15e61
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,3,True,True,0.015625,0.010416666666666666,0.0,0.0,110.0,1,2.151900000171736,,2,0,2,0,1,channel_model=qary_symmetric; syndrome_symbols=26,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.4,4,20,82608820f2d15e61
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,0,True,True,0.015625,0.005208333333333333,0.0,0.0,98.0,1,2.7706999971996993,,1,0,1,0,1,channel_model=qary_symmetric; syndrome_symbols=22,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,1,True,False,0.046875,0.020833333333333332,0.03125,0.020833333333333332,98.0,2,6.69680000282824,candidate_failed_verification,2,0,2,0,2,channel_model=qary_symmetric; syndrome_symbols=22,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,2,True,False,0.03125,0.015625,0.03125,0.010416666666666666,98.0,2,8.601200010161847,candidate_failed_verification,2,0,2,0,2,channel_model=qary_symmetric; syndrome_symbols=22,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,3,True,True,0.015625,0.010416666666666666,0.0,0.0,98.0,1,1.9419000018388033,,2,0,2,0,1,channel_model=qary_symmetric; syndrome_symbols=22,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,0,True,True,0.015625,0.005208333333333333,0.0,0.0,128.0,1,2.7221000054851174,,2,0,2,0,1,channel_model=qary_symmetric; syndrome_symbols=32,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.5,3,20,d3ef20759633ed3a
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,1,True,False,0.046875,0.020833333333333332,0.0625,0.03125,128.0,3,13.842500018654391,candidate_failed_verification,5,0,5,0,3,channel_model=qary_symmetric; syndrome_symbols=32,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.5,3,20,d3ef20759633ed3a
qldpc_synth_q8_ser0p01_flen64,qldpc_reference,2,True,False,0.03125,0.015625,0.03125,0.015625,128.0,2,6.857000000309199,candidate_failed_verification,2,0,2,0,2,channel_model=qary_symmetric; syndrome_symbols=32,8,,synthetic,8,4,qary_hard_syndrome_bf,qary_symmetric,0.5,3,20,d3ef20759633ed3a
