id,value,formula,source_object,axis,smoothing,sample_population,units,consumed_at,comparability
D4-CE-L1,3.814742,mean over 4 outer folds of ce_f ce_l1 (held-out NLL),D4R2 audit.json outer F on TRAIN768 frames,Alice=low+32high; P(U1|B) chain split,backoff total-concentration lam*=137.38 selected by inner 3-fold CV grid30,TRAIN768/TEST256 frame-blocked CAL702..1725,bits/symbol,sizing via rows=ceil(64*CE*f/5) -> frozen 49/59,honest held-out reference
D4-CE-L2,3.347605,mean over 4 outer folds of ce_f ce_l2_oracle,D4R2 audit.json outer F,Alice/Bob; P(U2|U1/B) chain split,backoff lam* (same selection),TRAIN768/TEST256 frame-blocked CAL702..1725,bits/symbol,sizing -> frozen 43/52,honest held-out reference
D4-CE-JOINT,7.162347,mean of outer F ce_joint (=ce_l1+ce_l2 chain exact),D4R2 audit.json outer F,Alice/Bob full P(A|B),backoff lam* (same selection),TRAIN768/TEST256 frame-blocked CAL702..1725,bits/symbol,route C mismatch@1.0 record,honest held-out reference
CON-CE-L1,4.999985,E_b[ H(P1(.|b)) ] with pb from accepted NPZ (_ce_stats),accepted NPZ via build_f_model lam* (run_g1_synthetic consumer path),P1 = reshape(32/32) sum over U2 then column norm,per-cell pseudocount counts+lam on 1048576 cells,full-CAL refit 262144 symbols CAL702..1725,bits/symbol,G1 L1 decoder priors (APP path),same units+domain as D4-CE-L1 but unlike probability object: difference 1.185 bits attributed to smoothing contract not subtracted as equivalent quantities
CON-CE-L2,4.999659,E over (pb x P1) of H(P2) (_ce_stats),accepted NPZ via build_f_model lam*,P2 = [U1/B/U2] normalized over U2,per-cell counts+lam,full-CAL refit CAL702..1725,bits/symbol,G1 oracle-L2 decoder priors,same caveat as CON-CE-L1; gap 1.652 bits is contract effect
CON-CE-JOINT,9.999645,E_b[ H(P_F(.|b)) ] (_ce_stats),accepted NPZ via build_f_model lam*,(Alice/Bob) columns axis0,per-cell counts+lam,full-CAL refit CAL702..1725,bits/symbol,disclosure need 64/64 @f=1.0 and 77/77 @f=1.2 vs frozen 49/43 59/52,same caveat; gap 2.837 bits is contract effect
BO-CE-JOINT,7.509440,same _ce_stats functional on backoff table,same counts + D4R2 build_f math (W3 rebuild),same axes (split maxerr 2.2e-16),backoff lam* total concentration,same full-CAL refit,bits/symbol,like-for-like vs CON-CE-JOINT (only smoothing axis changed): +2.49 bits destroyed by per-cell; vs D4-CE-JOINT same estimator family (0.35 gap = refit-vs-heldout + estimand)
RAW-CE-JOINT,5.077095,same _ce_stats on lam=0 empirical table,same counts lam=0 (zeros -> AUDIT_FLOOR),same axes,no smoothing explicit zero-support floor,same full-CAL refit resubstitution,bits/symbol,optimistic resubstitution lower bound; held-out 504.7 proves overfit NOT comparable to honest estimates
MI-ACC,0.000355,H(A)-H(A|B) under (pb accepted pf),accepted consumer table,(Alice;Bob),per-cell lam*,full-CAL refit,bits,near-independence is an artifact label not a channel property,like-for-like vs MI-BO (same functional)
MI-BO,2.483069,H(A)-H(A|B) under (pb backoff pf),backoff table same counts,same axes,backoff lam*,full-CAL refit,bits,D4 F-gain-over-G 2.837 corroborates dependence,channel carries ~2.5-2.8 bits; genuine near-independence REJECTED
TMASS-ACC,0.031244,mean prior mass on truth over seeds 2026090600..03 (sampling only),accepted p1 + oracle p2,U1/U2 layer priors,per-cell lam*,matched synthetic blocks n=64,probability,decoder input texture ~= 1/32 uniform,like-for-like vs TMASS-BO (same seeds/samples law differs)
TMASS-BO,0.254450,same mass functional on backoff priors,backoff p1/p2 same 4 seeds,U1/U2 layer priors,backoff lam*,matched synthetic blocks n=64 C1 law,probability,8x lift; L1 component 0.096 vs L2-oracle 0.25,decoder threshold discriminator
SMOOTH-PERCELL,140679.56 per column; 99.82% prior; 549.5x,1024*lam vs mean n_b=256,accepted counts_ab column sums,(Alice/Bob) columns,per-cell lam*=137.38,CAL column mean 256 obs,counts/pseudo-counts,construction arithmetic overwhelms 262144 observations BY CONSTRUCTION,like-for-like vs SMOOTH-BACKOFF (same lam different application)
SMOOTH-BACKOFF,137.38 per column; 34.9% prior,lam vs mean n_b=256,D4R2 build_f columns,same axes,total concentration lam*=137.38,same CAL columns,counts/pseudo-counts,principled shrinkage; inner-CV selected on all 4 outer folds,selected strength reused frozen (no new search)
ROWS-FROZEN,"49/43 @f=1.0; 59/52 @f=1.2",ceil(64*CE*f/5) from D4 frozen CE,G1 results.json frozen_rows == recompute,width-64 disclosure rows,uses D4 held-out CE,synthetic G1 f grid,rows,authorized attempt consumed; sizing honest UNDER the D4 estimator,formula verified exact match
ROWS-NEED-ACC,"64/64 @f=1.0; 77/77 @f=1.2",same formula from consumer CE,R1 D1 recompute (R2 W1 confirms),same axes,AUDIT_FLOOR channel CE of destroyed table,same domain,rows,need exceeds mothers at f=1.2 (59/52); need==64/64 @f=1.0 is rate-0 not an operating point,need is downstream of destroyed prior not an independent sizing error
CALLS-R1,29,T8+F1-4+F2-12+F3-4+F4-1,R1 diag01/02/03 JSON decoder_calls fields,n/a (accounting),n/a,frozen seeds pairs + rng words,calls,AC06 budget 29/300 independently reproduced,exact sum verified
CALLS-R2,53,W2-5 + W4b-16 + W4c-32 (one duplicate W4c invocation identical deterministic results),R2 w2/w4b/w4c evidence JSONs,n/a,n/a,paired frozen seeds + predeclared sq seed 2026090801,calls + wall ~26s + peak RSS 240963584 B,budget 53/1200 calls wall<<6h RSS<2GiB; no VAL no formal-root write
