dataset_id,data_mode,dimension,bin_width_ps,q,frame_len_symbols,frame_cap,frames_used_actual,decoder,channel_model,check_fraction,row_weight,max_iter,method,method_status,backend_status,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,runtime_s,notes,param_hash
qldpc_synth_q4_ser0p01_flen64,synthetic,4,,4,64,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,4,0,0,1.0,0.01171875,0.0,304.0,0.59375,0.01867740007583052,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.33; row_weight=3; syndrome_symbols=22; syndrome_bits=176; verification_bits=128; success=4/4,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen128,synthetic,4,,4,128,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,3,0,1,0.75,0.009765625,0.00390625,472.0,0.4609375,0.05674839997664094,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.33; row_weight=3; syndrome_symbols=43; syndrome_bits=344; verification_bits=128; success=3/4,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen64,synthetic,4,,4,64,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,4,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,3,0,1,0.75,0.01171875,0.0078125,304.0,0.59375,0.10011520003899932,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.33; row_weight=4; syndrome_symbols=22; syndrome_bits=176; verification_bits=128; success=3/4,eb5e714c53e22f14
qldpc_synth_q4_ser0p01_flen64,synthetic,4,,4,64,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,3,0,1,0.75,0.01171875,0.0078125,384.0,0.75,0.12386419996619225,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.5; row_weight=4; syndrome_symbols=32; syndrome_bits=256; verification_bits=128; success=3/4,70f03ad2a6815ec3
qldpc_synth_q4_ser0p01_flen128,synthetic,4,,4,128,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,4,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,4,0,0,1.0,0.009765625,0.0,472.0,0.4609375,0.06426480005029589,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.33; row_weight=4; syndrome_symbols=43; syndrome_bits=344; verification_bits=128; success=4/4,b2c6fbab915c06c2
qldpc_synth_q4_ser0p01_flen128,synthetic,4,,4,128,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,3,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,4,0,0,1.0,0.009765625,0.0,640.0,0.625,0.044967300025746226,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.5; row_weight=3; syndrome_symbols=64; syndrome_bits=512; verification_bits=128; success=4/4,522f89e80edee7a1
qldpc_synth_q4_ser0p01_flen128,synthetic,4,,4,128,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,3,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,3,0,1,0.75,0.009765625,0.00390625,640.0,0.625,0.039424799964763224,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.5; row_weight=3; syndrome_symbols=64; syndrome_bits=512; verification_bits=128; success=3/4,d3ef20759633ed3a
qldpc_synth_q4_ser0p01_flen64,synthetic,4,,4,64,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,3,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,3,0,1,0.75,0.01171875,0.0078125,384.0,0.75,0.2751598000759259,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.5; row_weight=3; syndrome_symbols=32; syndrome_bits=256; verification_bits=128; success=3/4,d3ef20759633ed3a
qldpc_synth_q4_ser0p01_flen64,synthetic,4,,4,64,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,4,0,0,1.0,0.01171875,0.0,304.0,0.59375,0.2939540999941528,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.33; row_weight=3; syndrome_symbols=22; syndrome_bits=176; verification_bits=128; success=4/4,ec3c47203d968697
qldpc_synth_q4_ser0p03_flen64,synthetic,4,,4,64,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,2,0,2,0.5,0.03515625,0.0234375,304.0,0.59375,0.02512959996238351,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.33; row_weight=3; syndrome_symbols=22; syndrome_bits=176; verification_bits=128; success=2/4,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen64,synthetic,4,,4,64,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,4,0,0,1.0,0.01171875,0.0,384.0,0.75,0.34382569999434054,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.5; row_weight=4; syndrome_symbols=32; syndrome_bits=256; verification_bits=128; success=4/4,43d014f94c106833
qldpc_synth_q4_ser0p03_flen64,synthetic,4,,4,64,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,4,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,1,0,3,0.25,0.03515625,0.0234375,304.0,0.59375,0.0316122000804171,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.33; row_weight=4; syndrome_symbols=22; syndrome_bits=176; verification_bits=128; success=1/4,b2c6fbab915c06c2
qldpc_synth_q4_ser0p01_flen128,synthetic,4,,4,128,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,4,0,0,1.0,0.009765625,0.0,640.0,0.625,0.15335929999127984,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.5; row_weight=4; syndrome_symbols=64; syndrome_bits=512; verification_bits=128; success=4/4,70f03ad2a6815ec3
qldpc_synth_q4_ser0p03_flen64,synthetic,4,,4,64,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,4,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,1,0,3,0.25,0.03515625,0.02734375,304.0,0.59375,0.0873624999076128,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.33; row_weight=4; syndrome_symbols=22; syndrome_bits=176; verification_bits=128; success=1/4,eb5e714c53e22f14
qldpc_synth_q4_ser0p03_flen64,synthetic,4,,4,64,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,3,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,1,0,3,0.25,0.03515625,0.0234375,384.0,0.75,0.030661099939607084,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.5; row_weight=3; syndrome_symbols=32; syndrome_bits=256; verification_bits=128; success=1/4,d3ef20759633ed3a
qldpc_synth_q4_ser0p01_flen128,synthetic,4,,4,128,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,qldpc_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_4,4,4,0,0,1.0,0.009765625,0.0,640.0,0.625,0.2965657999739051,qLDPC GF(q) syndrome reference decoder executed; not a full industrial qLDPC implementation; q=4; decoder=qary_hard_syndrome_bf; channel_model=qary_symmetric; check_fraction=0.5; row_weight=4; syndrome_symbols=64; syndrome_bits=512; verification_bits=128; success=4/4,43d014f94c106833
