dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,failure_reason,unsatisfied_checks_initial,unsatisfied_checks_final,syndrome_weight_initial,syndrome_weight_final,candidate_updates,notes,dimension,bin_width_ps,data_mode,q,frame_cap,decoder,channel_model,check_fraction,row_weight,max_iter,param_hash
qldpc_synth_q4_ser0p01_flen64,qldpc_reference,0,True,True,0.03125,0.0234375,0.0,0.0,76.0,2,3.714499995112419,,3,0,3,0,2,channel_model=qary_symmetric; syndrome_symbols=22,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen64,qldpc_reference,1,True,True,0.015625,0.015625,0.0,0.0,76.0,1,1.5890999929979444,,1,0,1,0,1,channel_model=qary_symmetric; syndrome_symbols=22,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen64,qldpc_reference,2,True,True,0.0,0.0,0.0,0.0,76.0,0,1.7202000599354506,,0,0,0,0,0,channel_model=qary_symmetric; syndrome_symbols=22,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen64,qldpc_reference,3,True,True,0.0,0.0,0.0,0.0,76.0,0,1.7428999999538064,,0,0,0,0,0,channel_model=qary_symmetric; syndrome_symbols=22,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen128,qldpc_reference,0,True,False,0.015625,0.0078125,0.015625,0.0078125,118.0,2,6.91019999794662,candidate_failed_verification,3,0,3,0,2,channel_model=qary_symmetric; syndrome_symbols=43,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen128,qldpc_reference,1,True,True,0.0078125,0.00390625,0.0,0.0,118.0,1,3.959599998779595,,2,0,2,0,1,channel_model=qary_symmetric; syndrome_symbols=43,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen128,qldpc_reference,2,True,True,0.0078125,0.00390625,0.0,0.0,118.0,1,4.834100021980703,,1,0,1,0,1,channel_model=qary_symmetric; syndrome_symbols=43,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen128,qldpc_reference,3,True,True,0.0078125,0.00390625,0.0,0.0,118.0,1,12.248600018210709,,1,0,1,0,1,channel_model=qary_symmetric; syndrome_symbols=43,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,3,20,0b962a07318c87cc
qldpc_synth_q4_ser0p01_flen64,qldpc_reference,0,True,False,0.03125,0.0234375,0.03125,0.0234375,76.0,2,5.395099986344576,candidate_failed_verification,2,0,2,0,2,channel_model=qary_symmetric; syndrome_symbols=22,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,4,20,eb5e714c53e22f14
qldpc_synth_q4_ser0p01_flen64,qldpc_reference,1,True,True,0.015625,0.015625,0.0,0.0,76.0,1,1.8445999594405293,,2,0,2,0,1,channel_model=qary_symmetric; syndrome_symbols=22,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,4,20,eb5e714c53e22f14
qldpc_synth_q4_ser0p01_flen64,qldpc_reference,2,True,True,0.0,0.0,0.0,0.0,76.0,0,1.844199956394732,,0,0,0,0,0,channel_model=qary_symmetric; syndrome_symbols=22,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.33,4,20,eb5e714c53e22f14
