call_id,condition,source,construction_seed,construction_seed_ordinal,block_seed,matrix_id,h1_matrix_id,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,exact_u1,exact_full,syndrome_ok_l2,syndrome_ok_l1,wrong_codeword_l2,wrong_codeword_l1,target_tag,candidate_tag,tag_ok,tag_scope,reclassified,iterations_l1,iterations_l2,bp_posterior_entropy,mean_abs_diff_q_p,status,runtime_s
C01,cond_control,1M,383102,2,390122,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,246,0,true,,,true,true,false,,f3cf3779e031f3cd,f3cf3779e031f3cd,true,l2_only,exact,1,55,1.764663289652879e-12,0.0006129881994085618,converged_exact,4.454209199990146
C02,cond_l1_app,1M,383102,2,390122,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,246,0,true,true,true,true,true,false,false,f3cf3779e031f3cd,f3cf3779e031f3cd,true,l2_only,exact,1,23,1.764663289652879e-12,0.0006129881994085618,converged_exact,1.7464408000232652
C03,cond_control,1M,383102,2,390123,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,247,119,false,,,false,true,false,,3fe5be195364e0e2,df441a3e4953b684,false,l2_only,decoder_non_syndrome_failure,2,90,1.5999632148636204e-12,0.0006231508641390637,converged_no_syndrome,7.106782500050031
C04,cond_l1_app,1M,383102,2,390123,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,247,0,true,true,true,true,true,false,false,3fe5be195364e0e2,3fe5be195364e0e2,true,l2_only,exact,2,86,1.5999632148636204e-12,0.0006231508641390637,converged_exact,6.7822914000134915
C05,cond_control,1M,383102,2,390124,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,262,0,true,,,true,true,false,,294cf381ba4e7c7b,294cf381ba4e7c7b,true,l2_only,exact,1,20,0.0017380146883479346,0.0008538277048348341,converged_exact,1.6381388999288902
C06,cond_l1_app,1M,383102,2,390124,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,262,0,true,true,true,true,true,false,false,294cf381ba4e7c7b,294cf381ba4e7c7b,true,l2_only,exact,1,10,0.0017380146883479346,0.0008538277048348341,converged_exact,0.7631032000062987
C07,cond_control,1p5M,383202,2,390222,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,225,0,true,,,true,true,false,,7c2a862396a4b26d,7c2a862396a4b26d,true,l2_only,exact,1,7,9.339263850358117e-08,0.0006234527092336789,converged_exact,0.5228676000842825
C08,cond_l1_app,1p5M,383202,2,390222,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,225,0,true,true,true,true,true,false,false,7c2a862396a4b26d,7c2a862396a4b26d,true,l2_only,exact,1,7,9.339263850358117e-08,0.0006234527092336789,converged_exact,0.6057588999392465
C09,cond_control,1p5M,383202,2,390223,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,225,0,true,,,true,true,false,,88176b991008a285,88176b991008a285,true,l2_only,exact,2,8,0.0006629213228113897,0.0010756034343356495,converged_exact,0.5975707999896258
C10,cond_l1_app,1p5M,383202,2,390223,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,225,0,true,true,true,true,true,false,false,88176b991008a285,88176b991008a285,true,l2_only,exact,2,5,0.0006629213228113897,0.0010756034343356495,converged_exact,0.36340280005242676
C11,cond_control,1p5M,383202,2,390224,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,266,46,false,,,false,true,false,,4eb9308cc57e83dd,1a01562c7d312eef,false,l2_only,decoder_non_syndrome_failure,1,90,0.002813975483134233,0.0007851895703222249,converged_no_syndrome,7.203445799998008
C12,cond_l1_app,1p5M,383202,2,390224,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,266,0,true,true,true,true,true,false,false,4eb9308cc57e83dd,4eb9308cc57e83dd,true,l2_only,exact,1,11,0.002813975483134233,0.0007851895703222249,converged_exact,0.9311051999684423
C13,cond_control,2M,383302,2,390322,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,252,67,false,,,false,true,false,,05c043d90d3e8640,c7faa36e1a1840e7,false,l2_only,decoder_non_syndrome_failure,4,90,0.001872812812369891,0.0009028634011117953,converged_no_syndrome,7.352174300001934
C14,cond_l1_app,2M,383302,2,390322,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,252,0,true,true,true,true,true,false,false,05c043d90d3e8640,05c043d90d3e8640,true,l2_only,exact,4,11,0.001872812812369891,0.0009028634011117953,converged_exact,0.8350105000426993
C15,cond_control,2M,383302,2,390323,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,276,0,true,,,true,true,false,,5a4dc566268169fa,5a4dc566268169fa,true,l2_only,exact,1,42,2.5670576437397808e-05,0.0006471761942357379,converged_exact,3.099159999983385
C16,cond_l1_app,2M,383302,2,390323,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,276,0,true,true,true,true,true,false,false,5a4dc566268169fa,5a4dc566268169fa,true,l2_only,exact,1,34,2.5670576437397808e-05,0.0006471761942357379,converged_exact,2.4258080000290647
C17,cond_control,2M,383302,2,390324,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,239,0,true,,,true,true,false,,8d7e4404e2c6dd55,8d7e4404e2c6dd55,true,l2_only,exact,2,13,1.6534720615615509e-12,0.0007228612954940214,converged_exact,0.9208918999647722
C18,cond_l1_app,2M,383302,2,390324,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,239,0,true,true,true,true,true,false,false,8d7e4404e2c6dd55,8d7e4404e2c6dd55,true,l2_only,exact,2,9,1.6534720615615509e-12,0.0007228612954940214,converged_exact,0.6111076000379398
