source_tag,frame_id,raw_ser,status,reason,iterations,exact_correct
type2_1p5M_20260121_183806,692,0.234375,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,693,0.21484375,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,694,0.26953125,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,695,0.27734375,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,696,0.26953125,decode_failed,iteration_limit,100,False
type2_1p5M_20260121_183806,697,0.24609375,syndrome_consistent,exact_correct,3,True
type2_1p5M_20260121_183806,698,0.3359375,decode_failed,iteration_limit,100,False
type2_1p5M_20260121_183806,699,0.24609375,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,700,0.2109375,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,701,0.2109375,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,702,0.2265625,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,703,0.234375,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,704,0.29296875,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,705,0.2734375,syndrome_consistent,exact_correct,7,True
type2_1p5M_20260121_183806,706,0.29296875,syndrome_consistent,exact_correct,7,True
type2_1p5M_20260121_183806,707,0.21875,syndrome_consistent,exact_correct,7,True
type2_1p5M_20260121_183806,708,0.2265625,decode_failed,iteration_limit,100,False
type2_1p5M_20260121_183806,709,0.203125,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,710,0.2578125,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,711,0.2578125,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,712,0.2109375,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,713,0.2109375,syndrome_consistent,exact_correct,3,True
type2_1p5M_20260121_183806,714,0.25390625,syndrome_consistent,exact_correct,7,True
type2_1p5M_20260121_183806,715,0.28515625,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,716,0.30078125,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,717,0.21484375,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,718,0.21875,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,719,0.23046875,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,720,0.2421875,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,721,0.2734375,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,722,0.27734375,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,723,0.23046875,syndrome_consistent,exact_correct,3,True
type2_1p5M_20260121_183806,724,0.265625,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,725,0.24609375,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,726,0.203125,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,727,0.23046875,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,728,0.25,decode_failed,iteration_limit,100,False
type2_1p5M_20260121_183806,729,0.24609375,syndrome_consistent,exact_correct,8,True
type2_1p5M_20260121_183806,730,0.2265625,syndrome_consistent,exact_correct,3,True
type2_1p5M_20260121_183806,731,0.24609375,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,732,0.25,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,733,0.26953125,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,734,0.27734375,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,735,0.26171875,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,736,0.29296875,syndrome_consistent,exact_correct,7,True
type2_1p5M_20260121_183806,737,0.2265625,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,738,0.3046875,syndrome_consistent,exact_correct,7,True
type2_1p5M_20260121_183806,739,0.27734375,syndrome_consistent,exact_correct,10,True
type2_1p5M_20260121_183806,740,0.265625,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,741,0.23046875,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,742,0.21875,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,743,0.20703125,syndrome_consistent,exact_correct,4,True
