slot_idx,f,seed,direction,role,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label,belief_provenance,belief_shape_ok,transfer_eligible
1,1.0,2026091300,L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,41,0.37688398799218703,132390912,0.5344644270502605,0.10058957169288209,4.154800827385998,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
2,1.0,2026091300,L1_TO_L2,CONTROL,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,41,0.33230377700238023,132390912,0.5592515222869034,0.11534682722632311,4.24772934276203,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
3,1.0,2026091300,L1_TO_L2,TRANSFER,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,47,38,0.3352801220025867,132390912,0.48702494789140705,0.10815059063613361,4.293927478020024,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
4,1.0,2026091300,L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,41,0.3380223440035479,132390912,0.5592515222869034,0.11534682722632311,4.24772934276203,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
5,1.0,2026091300,L2_TO_L1,CONTROL,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,41,0.3826234599982854,132390912,0.5344644270502605,0.10058957169288209,4.154800827385998,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
6,1.0,2026091300,L2_TO_L1,TRANSFER,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,46,39,0.3699571519973688,132390912,0.6072153583476381,0.1259107720339934,4.1764567236471315,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
7,1.0,2026091301,L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,47,44,0.3554729689931264,132390912,0.5698283321087699,0.12141170124151934,4.1391814361487,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
8,1.0,2026091301,L1_TO_L2,CONTROL,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,49,42,0.3094234250020236,132390912,0.5065478593875512,0.0901759721612575,4.261973289242913,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
9,1.0,2026091301,L1_TO_L2,TRANSFER,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,49,40,0.322243229005835,132390912,0.47155969063486053,0.09552400151268474,4.295129574963026,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
10,1.0,2026091301,L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,49,42,0.34824254900740925,132390912,0.5065478593875512,0.0901759721612575,4.261973289242913,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
11,1.0,2026091301,L2_TO_L1,CONTROL,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,47,44,0.3782804020011099,132390912,0.5698283321087699,0.12141170124151934,4.1391814361487,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
12,1.0,2026091301,L2_TO_L1,TRANSFER,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,45,44,0.3864353259996278,132390912,0.5418350417571045,0.12251419169586177,4.197008395599893,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
13,1.0,2026091302,L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,39,29,0.37014546000864357,132390912,0.9991153309374752,0.2931486609477856,3.106236069312042,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
14,1.0,2026091302,L1_TO_L2,CONTROL,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,42,37,0.32201494699984323,132390912,0.5489894837921201,0.120638413159594,4.260152576305162,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
15,1.0,2026091302,L1_TO_L2,TRANSFER,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,28,17,0.3102166230091825,132390912,0.9987063161921056,0.3385760031371866,3.1740676185290413,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
16,1.0,2026091302,L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,42,37,0.31035174599674065,132390912,0.5489894837921201,0.120638413159594,4.260152576305162,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
17,1.0,2026091302,L2_TO_L1,CONTROL,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,39,29,0.34921725500316825,132390912,0.9991153309374752,0.2931486609477856,3.106236069312042,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
18,1.0,2026091302,L2_TO_L1,TRANSFER,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,39,23,0.34104526400915347,132390912,0.9979140376212697,0.28095217731719796,3.1263624545818063,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
19,1.0,2026091303,L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,47,0.35309818500536494,132390912,0.4071138920856712,0.10538588266193183,4.241132845504552,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
20,1.0,2026091303,L1_TO_L2,CONTROL,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,48,42,0.3083800070016878,132390912,0.5375702955572002,0.09837401555601641,4.295457629668036,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
