dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,passes_used,total_blocks_checked,parity_disclosures_bits,bisection_disclosures_bits,verification_bits,other_disclosures_bits,candidate_flips,verified_flips,block_size_schedule,num_passes,notes,dimension,bin_width_ps,data_mode,frame_cap,permutation_mode,seed,param_hash
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.2578125,0.02578125,0.0,0.0,1251.0,95,4.915700003039092,3,562,1124,95,32,0,33,33,"8,4,16,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,1cdb1b55b06d0718
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.2265625,0.02265625,0.0,0.0,1235.0,83,11.709599988535047,3,560,1120,83,32,0,29,29,"8,4,16,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,1cdb1b55b06d0718
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.203125,0.0203125,0.0,0.0,1228.0,76,10.511100001167506,3,560,1120,76,32,0,26,26,"8,4,16,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,1cdb1b55b06d0718
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.2109375,0.02109375,0.0,0.0,1234.0,80,26.336500013712794,3,561,1122,80,32,0,27,27,"8,4,16,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,1cdb1b55b06d0718
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,False,0.2578125,0.02578125,0.015625,0.0015625,451.0,135,2.5305000017397106,3,142,284,135,32,0,31,31,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.2265625,0.02265625,0.0,0.0,448.0,136,11.048899992601946,3,140,280,136,32,0,29,29,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.203125,0.0203125,0.0,0.0,424.0,112,18.056900007650256,3,140,280,112,32,0,26,26,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.2109375,0.02109375,0.0,0.0,427.0,113,15.899299993179739,3,141,282,113,32,0,27,27,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.2578125,0.02578125,0.0,0.0,485.0,149,8.811500010779127,4,152,304,149,32,0,33,33,"16,32,64,128",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.2265625,0.02265625,0.0,0.0,468.0,136,19.67720000538975,4,150,300,136,32,0,29,29,"16,32,64,128",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.203125,0.0203125,0.0,0.0,444.0,112,34.784499992383644,4,150,300,112,32,0,26,26,"16,32,64,128",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.2109375,0.02109375,0.0,0.0,447.0,113,41.903399978764355,4,151,302,113,32,0,27,27,"16,32,64,128",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.2578125,0.02578125,0.0,0.0,897.0,113,3.5242000012658536,3,376,752,113,32,0,33,33,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.2265625,0.02265625,0.0,0.0,878.0,96,10.840900009498,3,375,750,96,32,0,29,29,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.203125,0.0203125,0.0,0.0,874.0,92,17.63100002426654,3,375,750,92,32,0,26,26,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.2109375,0.02109375,0.0,0.0,881.0,97,39.475199999287724,3,376,752,97,32,0,27,27,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d1024_bw180_blk0,cascade_lite,0,True,True,0.234375,0.0234375,0.0,0.0,446.0,134,32.985500001814216,3,140,280,134,32,0,30,30,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,180,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw180_blk0,cascade_lite,1,True,False,0.21875,0.021875,0.015625,0.0015625,424.0,112,26.072400010889396,3,140,280,112,32,0,26,26,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,180,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw180_blk0,cascade_lite,2,True,True,0.296875,0.0296875,0.0,0.0,485.0,167,27.065000002039596,3,143,286,167,32,0,38,38,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,180,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw180_blk0,cascade_lite,3,True,True,0.28125,0.028125,0.0,0.0,470.0,158,38.82729998440482,3,140,280,158,32,0,36,36,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,180,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw180_blk0,cascade_lite,0,True,True,0.234375,0.0234375,0.0,0.0,1086.0,106,32.298100006300956,4,474,948,106,32,0,30,30,"12,6,24,13",4,leakage_accounting=exact_internal_transcript,1024,180,real_data,4,seeded_random,0,7ee822c7f60512c0
real_typeii_20db_d1024_bw180_blk0,cascade_lite,1,True,True,0.21875,0.021875,0.0,0.0,1075.0,95,23.063400003593415,4,474,948,95,32,0,28,28,"12,6,24,13",4,leakage_accounting=exact_internal_transcript,1024,180,real_data,4,seeded_random,0,7ee822c7f60512c0
real_typeii_20db_d1024_bw180_blk0,cascade_lite,2,True,True,0.296875,0.0296875,0.0,0.0,1109.0,127,43.44780000974424,4,475,950,127,32,0,38,38,"12,6,24,13",4,leakage_accounting=exact_internal_transcript,1024,180,real_data,4,seeded_random,0,7ee822c7f60512c0
real_typeii_20db_d1024_bw180_blk0,cascade_lite,3,True,True,0.28125,0.028125,0.0,0.0,1102.0,122,28.292300004977733,4,474,948,122,32,0,36,36,"12,6,24,13",4,leakage_accounting=exact_internal_transcript,1024,180,real_data,4,seeded_random,0,7ee822c7f60512c0
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.2578125,0.02578125,0.0,0.0,1449.0,95,11.630299995886162,4,661,1322,95,32,0,33,33,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.2265625,0.02265625,0.0,0.0,1433.0,83,50.09720000089146,4,659,1318,83,32,0,29,29,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.203125,0.0203125,0.0,0.0,1426.0,76,29.697899997700006,4,659,1318,76,32,0,26,26,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.2109375,0.02109375,0.0,0.0,1432.0,80,48.65159999462776,4,660,1320,80,32,0,27,27,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
